scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_224050_10_0.0001_2_window_10,lotka_volterra,2,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,10,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_224405_12_0.0001_2_window_12,lotka_volterra,2,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,12,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_224544_12_0.0001_2_window_12,lotka_volterra,2,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,12,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_225013_1_0.0001_3_window_1,lotka_volterra,3,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,1,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_225152_1_0.0001_3_window_1,lotka_volterra,3,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,1,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_225624_5_0.0001_3_window_5,lotka_volterra,3,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,5,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_225804_5_0.0001_3_window_5,lotka_volterra,3,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,5,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_230116_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,7,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_230300_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,7,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_230800_10_0.0001_3_window_10,lotka_volterra,3,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,10,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_230939_10_0.0001_3_window_10,lotka_volterra,3,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,10,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterrarcd_(no mean)_normal_KL23_231428_12_0.0001_3_window_12,lotka_volterra,3,normal_KL,rcd,128,2,0.0001,0.12,0.15000000000000008,0.157,0.26733333333333326,0.18451666666666666,0,12,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterraepsilon_diagnosis_(no mean)_normal_KL23_231609_12_0.0001_3_window_12,lotka_volterra,3,normal_KL,epsilon_diagnosis,128,2,0.0001,0.15,0.11333333333333334,0.14533333333333334,0.24283333333333332,0.1671333333333333,0,12,0,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
